Electorate,PollingPlaceName,VenueName,Address,Locality
Albert Park,Bridport,Albert Park Primary School,Bridport St (access via Cardigan Place)    ,Albert Park
Albert Park,Kerferd South,Middle Park Primary School,Richardson St (access via Mills Street)    ,Middle Park
Albert Park,Middle Park,Middle Park Bowling Club,Canterbury Rd (access via Armstrong Street)    ,Middle Park
Albert Park,Port Melbourne,Port Melbourne Primary School,415 Graham St       ,Port Melbourne
Albert Park,Port Melbourne East,Sol Green Community Centre,corner Montague and Coventry Streets     ,South Melbourne
Albert Park,Port Melbourne West,Port Phillip Specialist School,127 Nott St (access via Farrell Street)   ,Port Melbourne
Albert Park,Sandridge,Fishermens Bend Community Hall,corner Dunstan Pde and Centre Ave    ,Port Melbourne
Albert Park,South Melbourne,South Melbourne Town Hall,208 Bank St       ,South Melbourne
Albert Park,Southbank,Malthouse Theatre - Beckett Theatre,113 Sturt St       ,Southbank
Albert Park,St Kilda,St Kilda Town Hall,corner Carlisle St and Brighton Rd    ,St Kilda
Albert Park,St Kilda Park,St Kilda Park Primary School,68 Fitzroy St       ,St Kilda
Albert Park,St Kilda South,Cora Graves Centre,38 Blessington St       ,St Kilda
Altona,Alamanda,Alamanda K-9 College,86-100 Alamanda Blvd       ,Point Cook
Altona,Altona,Altona Primary School,109 Blyth St       ,Altona
Altona,Altona Bay,Altona Green Primary School,240 Victoria St       ,Altona Meadows
Altona,Altona Meadows,Altona Meadows Primary School,78-88 Alma Ave       ,Altona Meadows
Altona,Altona Meadows CC,Altona Meadows Community Centre,28 Trafalgar Ave       ,Altona Meadows
Altona,Altona West,Altona P-9 College,103A Grieve Pde (access via Civic Parade)   ,Altona
Altona,Boardwalk,Carranballac P-9 College - Boardwalk Campus,corner Dunnings Rd and Foxwood Drive    ,Point Cook
Altona,Jamieson Way,Carranballac P-9 College - Jamieson Way Campus,Jamieson Way        ,Point Cook
Altona,Laverton,Laverton Community Hub,95-105 Railway Ave (access via Crown Street)   ,Laverton
Altona,Laverton North,Laverton P-12 College,91 Bladin St       ,Laverton
Altona,Point Cook North,Point Cook P-9 College,18-50 Ponsford Drive (access via Tom Roberts Prd)  ,Point Cook
Altona,Seabrook,Seabrook Primary School,83-105 Point Cook Rd      ,Seabrook
Altona,Seabrook Central,Seabrook Community Centre,15 Truganina Ave       ,Seabrook
Altona,Seaholme,Seaholme Primary School,Civic Pde        ,Altona
Bass,Bass,Bass Valley Community Centre,corner Bass Hwy and Bass School Rd   ,Bass
Bass,Bayles,Bayles Hall,Koo Wee Rup - Longwarry Rd    ,Bayles
Bass,Cape Paterson,Cape Paterson Community Hall,Cape Paterson Rd       ,Cape Paterson
Bass,Catani,Catani Recreation Reserve,Taplins Rd        ,Catani
Bass,Clyde,Clyde Primary School,Oroya Grove        ,Clyde
Bass,Corinella,Corinella Public Hall,38-44 Smythe St       ,Corinella
Bass,Cowes,Cowes Primary School,177 Settlement Rd       ,Cowes
Bass,Dalyston,Powlett River Primary School,82-96 Daly St       ,Dalyston
Bass,Grantville,Grantville Hall,Bass Hwy        ,Grantville
Bass,Inverloch,Inverloch Community Hub,A'Beckett St        ,Inverloch
Bass,Kilcunda,Kilcunda Community Centre,3513-3515 Bass Hwy       ,Kilcunda
Bass,Koo Wee Rup,Koo Wee Rup Community Centre,Rossiter Rd        ,Koo Wee Rup
Bass,Lakeside East,Lakeside Lutheran College,2 Portobello Rd       ,Pakenham
Bass,Lang Lang,Lang Lang Primary School,52 Westernport Rd       ,Lang Lang
Bass,Newhaven,Newhaven Community Hall,23 Cleeland St       ,Newhaven
Bass,Pakenham,Pakenham Secondary College,1020 Princes Hwy       ,Pakenham
Bass,Pakenham Central,Pakenham Uniting Church Hall,47 James St       ,Pakenham
Bass,Pakenham Lakeside,Pakenham Lakeside Primary School,23 Shearwater Drive       ,Pakenham
Bass,Pakenham Springs,Pakenham Springs Primary School,Livingstone Blvd        ,Pakenham
Bass,Rhyll,Rhyll Mechanics Hall,Lock Rd        ,Rhyll
Bass,San Remo,San Remo Recreation Centre,1A Wynne Rd       ,San Remo
Bass,Wonthaggi,Wonthaggi Town Hall,14 Baillieu St East      ,Wonthaggi
Bass,Wonthaggi North,Wonthaggi North Primary School,White Rd        ,Wonthaggi
Bayswater,Bayswater,Bayswater Primary School,corner Mountain Hwy and Birch St    ,Bayswater
Bayswater,Bayswater North,Bayswater North Primary School,Stuart St        ,Bayswater
Bayswater,Bayswater South,Bayswater South Primary School,Enfield Drive        ,Bayswater
Bayswater,Bayswater West,Bayswater West Primary School,corner Phyllis St and Warruga Ave    ,Bayswater
Bayswater,Boronia East,Boronia  Church of Christ,corner Allandale and Boronia Roads     ,Boronia
Bayswater,Boronia North,Boronia Heights Primary School,Landscape Drive (access via Montana Ave)    ,Boronia
Bayswater,Boronia West,Boronia West Primary School,Tormore Rd        ,Boronia
Bayswater,Canterbury Gardens,The Basin Primary School,corner Mountain Hwy and Liverpool Rd    ,The Basin
Bayswater,Fairhills,Fairhills Primary School,Manuka Drive        ,Ferntree Gully
Bayswater,Glen Park,Glen Park Community Centre,30 Glen Park Rd      ,Bayswater North
Bayswater,Heathmont,Heathmont Uniting Church Hall,89 Canterbury Rd       ,Heathmont
Bayswater,Heathmont East,Heathmont East Primary School,Armstrong Rd        ,Heathmont
Bayswater,Heathmont West,Heathmont College,Waters Grove        ,Heathmont
Bayswater,Knox,St Josephs Catholic Primary School,212 Boronia Rd       ,Boronia
Bayswater,Southwood,Great Ryrie Primary School,Great Ryrie St       ,Heathmont
Bayswater,The Basin,St Bernadette's Catholic Primary School,1264 Mountain Hwy       ,The Basin
Bayswater,Tinternvale,Tinternvale Primary School,Tintern Ave        ,Bayswater North
Bayswater,Wantirna West,St Luke's Primary School,25 Stokes Rd       ,Wantirna
Bellarine,Barwon Heads,Barwon Heads Primary School,Golf Links Rd       ,Barwon Heads
Bellarine,Beacon Point,Beacon Point Kindergarten,49-55 Centaurus Ave       ,Clifton Springs
Bellarine,Clifton Springs,Clifton Springs Primary School,84 Jetty Rd       ,Clifton Springs
Bellarine,Collendina,Bellarine Aquatic and Sports Centre,Shell Rd        ,Ocean Grove
Bellarine,Drysdale,Drysdale Uniting Church Hall,Palmerston St        ,Drysdale
Bellarine,Indented Head,Indented Head Community Hall,The Esplanade        ,Indented Head
Bellarine,Leopold,LINC Stadium (Leopold Primary School),1 Kensington Rd       ,Leopold
Bellarine,Moolap,Moolap Primary School,30 Wills Crescent       ,Moolap
Bellarine,Ocean Grove,Ocean Grove Primary School,21-23 Draper St       ,Ocean Grove
Bellarine,Point Lonsdale,Point Lonsdale Primary School,22 Bowen Rd       ,Point Lonsdale
Bellarine,Portarlington,Portarlington Parks Hall,Newcombe St        ,Portarlington
Bellarine,Queenscliff,Queenscliff Town Hall,50 Learmonth St       ,Queenscliff
Bellarine,St Leonards,St Leonards Memorial Hall,Murradoc Rd        ,St Leonards
Bellarine,Surfside,Surfside Primary School,31-65 John Dory Drive      ,Ocean Grove
Bellarine,Wallington,Wallington Primary School,610 Wallington Rd (access via Orchard Crescent)   ,Wallington
Benambra,Baranduda,Baranduda Primary School,7 Verbena St       ,Baranduda
Benambra,Barnawartha,Barnawartha Soldiers Memorial Hall,38 High St       ,Barnawartha
Benambra,Beechworth,Beechworth Primary School,17 Junction Rd       ,Beechworth
Benambra,Bethanga,Bethanga Soldiers Memorial Hall,Bridge St        ,Bethanga
Benambra,Bonegilla,Bonegilla Hall,Murray Valley Hwy       ,Bonegilla
Benambra,Bullioh,Bullioh Hall,7961 Murray Valley Hwy      ,Bullioh
Benambra,Chiltern,Chiltern Senior Citizens Hall,84 Conness St       ,Chiltern
Benambra,Corryong,Corryong Memorial Hall,1 Hansen St       ,Corryong
Benambra,Cudgewa,Cudgewa Mechanics Institute,195 Main St       ,Cudgewa
Benambra,Dederang,Dederang Multi-Purpose Building,Kiewa Valley Hwy       ,Dederang
Benambra,Eskdale,Eskdale Public Hall,3797 Omeo Hwy       ,Eskdale
Benambra,Kergunyah,Kergunyah Memorial Hall,Kergunyah Rd        ,Kergunyah
Benambra,Mitta Mitta,Mitta Mitta Mechanics Institute,5543 Omeo Hwy       ,Mitta Mitta
Benambra,Mt Beauty,Mt Beauty Community Centre,Kiewa Crescent        ,Mt Beauty
Benambra,Running Creek,St Albans Parish Hall,5253 Kiewa Valley Hwy      ,Running Creek
Benambra,Rutherglen,Rutherglen Primary School,44-46 Murray St       ,Rutherglen
Benambra,Sandy Creek,Sandy Creek Memorial Hall,Lockhart's Gap Rd       ,Sandy Creek
Benambra,Stanley,Stanley Safer Place,Pioneer Rd        ,Stanley
Benambra,Tallangatta,Tallangatta RSL Clubrooms,Akuna Ave        ,Tallangatta
Benambra,Tallangatta Valley,Tallangatta Valley Public Hall,Polmear St        ,Tallangatta Valley
Benambra,Tangambalanga,Tangambalanga Community Centre,29 Kiewa East Rd      ,Tangambalanga
Benambra,Tawonga,Tawonga Primary School,91 Kiewa Valley Hwy      ,Tawonga
Benambra,Victory,Victory Lutheran Primary School,28 Drage Rd       ,Wodonga
Benambra,Wahgunyah,Wahgunyah School of Arts Hall,33-35 Foord St       ,Wahgunyah
Benambra,Walwa,Walwa Servicemen's Memorial Hall,Main St        ,Walwa
Benambra,Wodonga,St. Augustine's Catholic Primary School,Osburn St        ,Wodonga
Benambra,Wodonga Birallee,Melrose Primary School,25 Silva Drive       ,Wodonga
Benambra,Wodonga Central,Wodonga Senior Secondary College,69 Woodland St       ,Wodonga
Benambra,Wodonga South,Wodonga Middle Years College - Huon Campus,22-24 Mitchell St       ,Wodonga
Benambra,Wooragee,Wooragee Centenary Hall,1011 Beechworth-Wodonga Rd       ,Wooragee
Benambra,Yackandandah,Yackandandah Senior Citizens Centre,14 Wellsford St       ,Yackandandah
Bendigo East,Axedale,Axedale Hall,94 High St       ,Axedale
Bendigo East,Bendigo Central,Bendigo Town Hall,189-193 Hargreaves St (access via Lyttleton Terrace)   ,Bendigo
Bendigo East,Bendigo East,Bendigo East Public Hall,Lansell St        ,East Bendigo
Bendigo East,Big Hill,Big Hill Primary School,5644 Calder Hwy       ,Big Hill
Bendigo East,Comet Hill,Lightning Reef Primary School,74 Holmes Rd       ,Bendigo
Bendigo East,Dingee,Dingee Memorial Hall,26 Mack St       ,Dingee
Bendigo East,Eaglehawk North,Eaglehawk North Primary School,Darcey St        ,Eaglehawk
Bendigo East,Elmore,Elmore Athenaeum Hall,62 Michie St       ,Elmore
Bendigo East,Eppalock,Eppalock Primary School,149 Patons Rd       ,Axe Creek
Bendigo East,Epsom,Epsom Primary School,Howard St        ,Epsom
Bendigo East,Flora Hill,Holy Trinity Anglican Hall,14 Keck St       ,Flora Hill
Bendigo East,Golden Square,Golden Square Primary School (Maple Street Campus),19 Maple St (access via Mackenzie Street)   ,Golden Square
Bendigo East,Goornong,Goornong Soldiers Memorial Hall,32 Railway Place       ,Goornong
Bendigo East,Huntly,Huntly Primary School,101 Brunel St       ,Huntly
Bendigo East,Jobs Gully,Eaglehawk Secondary College,1 Reserve St       ,Eaglehawk
Bendigo East,Junortoun,Bendigo Baptist Church,757 McIvor Hwy       ,Junortoun
Bendigo East,Kangaroo Flat South,St Monica's Primary School,91 High St (access via Station Street)   ,Kangaroo Flat
Bendigo East,Kennington,St Therese's Primary School,Albion St        ,Kennington
Bendigo East,Mandurang,Mandurang Public Hall,corner Sedgwick & Nankervis Roads     ,Mandurang
Bendigo East,Quarry Hill,Quarry Hill Primary School,25 Peel St       ,Bendigo
Bendigo East,Raywood,Raywood Public Hall,50-52 Inglewood St       ,Raywood
Bendigo East,Sailors Gully,Sailors Gully Lions Community Hall,corner Growler & Hodgson Streets     ,Eaglehawk
Bendigo East,Sedgwick,Sedgwick Public Hall,corner Sedgwick Rd & Boyd Lane    ,Sedgwick
Bendigo East,Serpentine,Loddon Shire Council Offices,37 Peppercorn Way       ,Serpentine
Bendigo East,Spring Gully,Spring Gully Primary School,104 - 110 Spring Gully Rd    ,Bendigo
Bendigo East,Strath Hill,Kennington Primary School,60 Crook St       ,Bendigo
Bendigo East,Strathdale,Strathdale Community Centre,155 Crook St       ,Strathdale
Bendigo East,Strathfieldsaye,Strathfieldsaye Uniting Church Hall,918 Wellington St       ,Strathfieldsaye
Bendigo East,Weeroona,Weeroona College,383 Napier St       ,Bendigo
Bendigo East,White Hills,Holy Rosary Parish Centre (Ted Harte Centre),2 Hamelin St       ,White Hills
Bendigo East,Woodvale,Woodvale Hall,34 Dalys Rd       ,Woodvale
Bendigo West,Bendigo Central,Bendigo Town Hall,189-193 Hargreaves St (access via Lyttleton Terrace)   ,Bendigo
Bendigo West,Bendigo North,Saint Peter's Catholic Primary School (Knuldoorong Centre),23 Fenton St       ,Bendigo North
Bendigo West,Big Hill,Big Hill Primary School,5644 Calder Hwy       ,Big Hill
Bendigo West,California Gully,St Laurence Court Village Hall,Upper California Gully Rd      ,California Gully
Bendigo West,Campbells Creek,Campbells Creek Primary School,127-133 Main Rd       ,Campbells Creek
Bendigo West,Castlemaine,Castlemaine Catholic Church Hall (St Mary's),corner Hargraves and Lyttleton Streets     ,Castlemaine
Bendigo West,Castlemaine North,Castlemaine North Primary School,270 Barker St (access via Hunter Street)   ,Castlemaine
Bendigo West,Chewton,Chewton Primary School,Hunter St (access via Baker Street)    ,Chewton
Bendigo West,Comet Hill,Lightning Reef Primary School,74 Holmes Rd       ,Bendigo
Bendigo West,Eaglehawk West,Bendigo Badminton Table Tennis Centre,140 Victoria St       ,Eaglehawk
Bendigo West,Golden Square,Golden Square Primary School (Maple Street Campus),19 Maple St (access via Mackenzie Street)   ,Golden Square
Bendigo West,Golden Square South,Abundant Life Christian Fellowship,113-123 Mackenzie St West      ,Golden Square
Bendigo West,Guildford,Guildford Public Hall,Midland Hwy        ,Guildford
Bendigo West,Harcourt,Harcourt Valley Primary School,Wilkinson St        ,Harcourt
Bendigo West,Ironbark,Violet Street Primary School,corner Old Violet and Webster Streets    ,Bendigo
Bendigo West,Kangaroo Flat,Crusoe Secondary College,57 Olympic Pde       ,Kangaroo Flat
Bendigo West,Kangaroo Flat South,St Monica's Primary School,91 High St (access via Station Street)   ,Kangaroo Flat
Bendigo West,Lockwood,Lockwood Primary School,190 Wiegards Rd       ,Lockwood
Bendigo West,Maiden Gully,Maiden Gully Hall,711 Calder Hwy       ,Maiden Gully
Bendigo West,Maldon,Maldon Community Centre,Francis St        ,Maldon
Bendigo West,Marong,Marong Community Centre,36 Torrens St       ,Marong
Bendigo West,Newstead,Newstead Primary School,corner Lyon and Peel Streets     ,Newstead
Bendigo West,Sandhurst,Marion Centre Theatre / Catholic College,167 Barkly St       ,Bendigo
Bendigo West,Sparrowhawk,Long Gully Neighbourhood Centre,54 Derwent Drive       ,Long Gully
Bendigo West,Specimen Hill,Specimen Hill Primary School,Inglewood St (access via Croxton  St from Inglewood Street),Bendigo
Bendigo West,Winters Flat,Winters Flat Primary School,Roberts Ave        ,Castlemaine
Bentleigh,Bentleigh,Our Lady of Sacred Heart College,111 Jasper Rd       ,Bentleigh
Bentleigh,Bentleigh Central,St John's Anglican Church Hall,624 Centre Rd       ,Bentleigh
Bentleigh,Bentleigh East,Bentleigh Secondary College,Vivien St        ,Bentleigh East
Bentleigh,Bentleigh West,Bentleigh West Primary School,23 Brewer Rd       ,Bentleigh
Bentleigh,Berendale,Berendale School,2 Berend St       ,Hampton East
Bentleigh,Coatesville,Coatesville Primary School,21 Mackie Rd       ,Bentleigh East
Bentleigh,Hughesdale South,Coatesville Uniting Church Hall,corner Mackie and North Roads     ,East Bentleigh
Bentleigh,McKinnon,McKinnon Public Hall,118 McKinnon Rd       ,McKinnon
Bentleigh,McKinnon East,McKinnon Secondary College,291a McKinnon Rd       ,McKinnon
Bentleigh,Moorabbin Central,City of Kingston Town Hall,985 Nepean Hwy       ,Moorabbin
Bentleigh,Moorabbin Heights,East Bentleigh Primary School,90 Bignell Rd       ,Bentleigh East
Bentleigh,Moorabbin South,Tucker Road Primary School,16 Tucker Rd       ,Bentleigh
Bentleigh,Moorabbin South East,Wickham Road Uniting Church Hall,185 Wickham Rd       ,Moorabbin
Bentleigh,Ormond West,Ormond Primary School,121 Wheatley Rd (access via Murray Road)   ,Ormond
Bentleigh,Southmoor,Southmoor Primary School,Rica St        ,Moorabbin
Box Hill,Balwyn,All Hallows Yr9 Campus Genazzano FCJ College,3 Brenbeal St       ,Balwyn
Box Hill,Blackburn,The Avenue Uniting Church,46 Blackburn Rd       ,Blackburn
Box Hill,Blackburn Lake,Blackburn Lake Primary School,43448 Florence St       ,Blackburn
Box Hill,Blackburn North,Blackburn Primary School,corner Whitehorse and Surrey Roads     ,Blackburn
Box Hill,Box Hill,St Peter's Anglican Church Hall,1030 Whitehorse Rd       ,Box Hill
Box Hill,Box Hill Central,Wesley Hall,Oxford St        ,Box Hill
Box Hill,Box Hill North,Box Hill North Primary School,Elizabeth St        ,Box Hill North
Box Hill,Chatham,Chatham Primary School,Weybridge St (access via Banool Road)    ,Surrey Hills
Box Hill,Chatham South,Youth With A Mission,1 Kent Rd       ,Surrey Hills
Box Hill,Greythorn,Greythorn Primary School,Reading Ave        ,Balwyn North
Box Hill,Kerrimuir,Kerrimuir Primary School,Molbray St        ,Box Hill North
Box Hill,Koonung Heights,Koonung Secondary College,615 Elgar Rd       ,Mont Albert North
Box Hill,Laburnum,Laburnum Primary School,corner Middleborough Rd and Janet St    ,Blackburn
Box Hill,Middlefield,Blackburn High School,60 Springfield Rd       ,Blackburn
Box Hill,Mont Albert,Mont Albert Primary School,Barloa Rd        ,Mont Albert
Box Hill,Surrey Hills,Surrey Hills Uniting Church Hall,corner Canterbury Rd and Valonia Ave    ,Surrey Hills
Box Hill,Surrey Hills North,Surrey Hills Holy Trinity Church Hall,177 Union Rd       ,Surrey Hills
Box Hill,Tyne,11th Box Hill Scout Hall,31 Tyne St       ,Box Hill North
Brighton,Brighton,Brighton Primary School,Wilson St        ,Brighton
Brighton,Brighton Beach,Brighton Beach Primary School,19 Windermere Crescent       ,Brighton
Brighton,Brighton East,Melbourne Montessori,739 Hawthorn Rd       ,Brighton East
Brighton,Brighton High,Brighton Secondary College,120 Marriage Rd       ,Brighton East
Brighton,Dendy,Dendy Scout Hall,210 Dendy St       ,Brighton East
Brighton,Elsternwick South,Elsternwick Primary School,44-48 Murphy St       ,Brighton
Brighton,Elwood,St. Columba's Catholic School & Church,24 Glen Huntly Rd      ,Elwood
Brighton,Elwood North,Elwood Primary School,corner Mitford St and Scott St    ,Elwood
Brighton,Gardenvale,St Stephen's Gardenvale Anglican Church Hall,corner North Rd and Cochrane St    ,Brighton
Brighton,Hampton,Hampton Primary School,528 Hampton St       ,Hampton
Brighton,Hampton East,Sandringham Youth Club,219 Thomas St       ,Hampton
Brighton,Landcox,Gardenvale Primary School,66 Landcox St       ,Brighton East
Brighton,Ludstone,Ludstone Scout Hall,corner Ludstone and Kingston Streets     ,Hampton
Brighton,Middle Brighton,St Andrew's Hall,19 - 21 St Andrew's St    ,Brighton
Broadmeadows,Bethal,Bethal Primary School,Eldorado Crescent (access via Rockbank court)    ,Meadow Heights
Broadmeadows,Broadmeadows,Meadows Primary School,41 Gerbert St       ,Broadmeadows
Broadmeadows,Broadmeadows North,Hume Central Secondary College - Blair Campus,Blair St        ,Broadmeadows
Broadmeadows,Campbellfield,Campbellfield Heights Primary School,Laurel Crescent        ,Campbellfield
Broadmeadows,Coolaroo,Coolaroo South Primary School,Bushfield Crescent        ,Coolaroo
Broadmeadows,Fawkner,Fawkner Primary School,40 Lorne St       ,Fawkner
Broadmeadows,Fawkner North,John Fawkner Secondary College,51 Jukes Rd       ,Fawkner
Broadmeadows,Glenroy,Glenroy College,120 Glenroy Rd (access via Cardinal Road)   ,Glenroy
Broadmeadows,Glenroy North,Glenroy Specialist School,208 Hilton St       ,Glenroy
Broadmeadows,Gowrie Park,Belle Vue Park Primary School,Morell St        ,Glenroy
Broadmeadows,Hume Central,Hume Central Secondary College - Dimboola Campus,Dimboola Rd        ,Broadmeadows
Broadmeadows,Meadow Heights,Meadow Heights Primary School,Paringa Blvd        ,Meadow Heights
Broadmeadows,Moomba Park,Moomba Park Primary School,111 Anderson Rd       ,Fawkner
Broadmeadows,Roxburgh Homestead,Roxburgh Homestead Primary School,McPherson Blvd        ,Roxburgh Park
Broadmeadows,Roxburgh Park,Roxburgh Park Primary School,Almands Ave (access via Sommeville drive)    ,Roxburgh Park
Broadmeadows,Upfield,Dallas Brooks Community Primary School,26-36 King St       ,Dallas
Broadmeadows,Westmeadows,Westmeadows Primary School,Riddell St        ,Westmeadows
Brunswick,Blyth,Salvation Army Community Centre - Brunswick,256 Albert St       ,Brunswick
Brunswick,Brunswick East,Brunswick East Primary School,195A Stewart St       ,Brunswick East
Brunswick,Brunswick North,Brunswick North Primary School,Pearson St (access via Albion Street)    ,Brunswick West
Brunswick,Brunswick North West,Brunswick North West Primary School,Culloden St        ,Brunswick West
Brunswick,Brunswick South,Temple Park Senior Citizens Centre Brunswick West,24 Gray (access via Hodgson Street) St   ,Brunswick West
Brunswick,Brunswick South West,Brunswick South West Primary School,South Daly St       ,Brunswick West
Brunswick,Coburg,Coburg Primary School - Junior Campus,Bell St        ,Coburg
Brunswick,Coburg East,Antonine College - Cedar Campus,corner Nicholson and Harding Streets     ,Coburg East
Brunswick,Coburg West,Coburg West Primary School,Reynard St        ,Coburg
Brunswick,Edward,Brunswick Town Hall,233 Sydney Rd       ,Brunswick
Brunswick,Glen Nichol,Holy Trinity Church Hall,corner Nicholson St and Glenlyon Rd    ,Brunswick East
Brunswick,Melville,St Joseph's School Hall (Brunswick West),185 Hope St (access via James Street)   ,Brunswick West
Brunswick,Merri,Merri Creek Primary School,corner Miller and Ida Streets     ,Fitzroy North
Brunswick,Mitchell Street,St Margaret Mary's Church Hall,Donald St        ,Brunswick North
Brunswick,Moreland,Moreland Primary School,corner Moreland Rd and De Carle St   ,Moreland
Brunswick,Pascoe Vale South,Pascoe Vale South Primary School,411-429 Reynard St       ,Pascoe Vale South
Bulleen,Bulleen,Bulleen Heights School Pleasant Road Campus,Pleasant Rd        ,Bulleen
Bulleen,Bulleen West,Koonarra Hall (previously tennis club),7 Balwyn Rd       ,Bulleen
Bulleen,Doncaster,Doncaster Primary School,43143 Council St       ,Doncaster
Bulleen,Doncaster Central,Doncaster Secondary College,123 Church Rd       ,Doncaster
Bulleen,Doncaster South,Birralee Primary School,Heyington Ave        ,Doncaster
Bulleen,Doncaster West,Vista Valley Kindergarten,3 Vista St       ,Bulleen
Bulleen,Lower Templestowe,Bulleen Heights School Manningham Road Campus,221 Manningham Rd       ,Templestowe Lower
Bulleen,Manningham,St Clement of Rome Primary School,Egan Drive        ,Bulleen
Bulleen,Serpell,Serpell Primary School,Burleigh Drive (access via Tuckers Road)    ,Templestowe Lower
Bulleen,St Gregory's,St Gregory's the Great Primary School,396 Manningham Rd       ,Doncaster
Bulleen,Templestowe,Manningham Uniting Church Hall,104 Atkinson St       ,Templestowe
Bulleen,Templestowe Heights,Templestowe Heights Primary School,292 High St       ,Templestowe Lower
Bulleen,Templestowe Park,Templestowe Park Primary School,399 Church Rd       ,Templestowe
Bulleen,Templestowe Valley,Templestowe Valley Primary School,15 Birchwood Ave       ,Templestowe Lower
Bulleen,The Pines,Deep Creek Anglican Church Hall,460 Blackburn Rd       ,Doncaster East
Bundoora,Bundoora,Bundoora Secondary College,53 Balmoral Ave       ,Bundoora
Bundoora,Findon,Findon Primary School,5 Cuthbert Drive       ,Mill Park
Bundoora,Greensborough,Greensborough  Primary School,130 Grimshaw St       ,Greensborough
Bundoora,Kingsbury,Kingsbury Primary School,1A Maryborough Ave       ,Kingsbury
Bundoora,Mill Park,Mill Park Primary School,10 Blamey Ave       ,Mill Park
Bundoora,Norris Bank,Norris Bank Primary School,146 Settlement Rd       ,Bundoora
Bundoora,Streeton,Streeton Primary  School,209 Yallambie Rd       ,Yallambie
Bundoora,The Stables,Mill Park College - Middle Years Campus,43368 Moorhead Drive       ,Mill Park
Bundoora,Watsonia,Greensborough College,Nell St        ,Greensborough
Bundoora,Watsonia Central,Watsonia Primary School,240 Nell St       ,West Watsonia
Bundoora,Watsonia Heights,Watsonia Heights Primary School,61 Henry St       ,Greensborough
Bundoora,Watsonia North,Watsonia North Primary School,16 Sharpes Rd       ,Watsonia
Bundoora,Watsonia South,Watsonia Community Centre,35 Lambourn Rd       ,Watsonia
Bundoora,Yulong Park,Concord Playgroup,9 Cameron Pde       ,Bundoora
Buninyong,Bacchus Marsh,Bacchus Marsh Leisure Centre,43235 Labilliere St       ,Bacchus Marsh
Buninyong,Ballan,Ballan Senior Citizens Centre,78 Steiglitz St       ,Ballan
Buninyong,Bungaree,Bungaree Mechanics Institute,234 Bungaree-Wallace Rd       ,Bungaree
Buninyong,Buninyong,Buninyong Primary School,202 Simpson St       ,Buninyong
Buninyong,Caledonian,Caledonian Primary School,Thompson St        ,Brown Hill
Buninyong,Canadian,Canadian Lead Primary School,301 Otway St South      ,Canadian
Buninyong,Cape Clear,Cape Clear Hall,Recreational Reserve Rd       ,Cape Clear
Buninyong,Clarkes Hill,St Mary's  Catholic School,131 Powells Rd       ,Clarkes Hill
Buninyong,Dereel,Dereel Soldiers' Memorial Community Centre,Swamp Rd        ,Dereel
Buninyong,Elaine,Elaine Mechanics Institute,Pearson St        ,Elaine
Buninyong,Gordon,Gordon Public Hall,68 Main St       ,Gordon
Buninyong,Haddon,Haddon Recreation Centre,398 Sago Hill Rd      ,Haddon
Buninyong,Lethbridge,Lethbridge Public Hall,25 Russell St       ,Lethbridge
Buninyong,Linton,Linton Primary School,28 Adair St       ,Linton
Buninyong,Magpie,Magpie Primary School,61 Docwra St       ,Magpie
Buninyong,Meredith,Meredith Memorial Hall,61 Staughton St       ,Meredith
Buninyong,Mount Clear,Damascus College,1412 Geelong Rd       ,Mount Clear
Buninyong,Mount Egerton,Mount Egerton Mechanics Institute,69 Main Rd       ,Mount Egerton
Buninyong,Mount Pleasant,Mount Pleasant Primary School,401 Cobden St (access via Trethowan Street)   ,Mount Pleasant
Buninyong,Mount Wallace,Mount Wallace Hall,Mount Wallace Hall Lane      ,Mount Wallace
Buninyong,Myrniong,Myrniong Primary School,Muddy Lane        ,Myrniong
Buninyong,Napoleons,Napoleons Primary School,4721 Colac-Ballarat Rd       ,Napoleons
Buninyong,Redan,Phoenix P-12 Community College - Redan Campus,Hertford St (access via Alfred Street)    ,Sebastopol
Buninyong,Ross Creek,Ross Creek Hall,655 Sebastopol-Smythesdale Rd       ,Ross Creek
Buninyong,Scarsdale,Scarsdale Town Hall,23 Pitfield Rd       ,Scarsdale
Buninyong,Sebastopol,Sebastopol RSL,10 Birdwood Ave       ,Sebastopol
Buninyong,Smythesdale,Smythesdale Recreation Facility,19 Heales St       ,Smythesdale
Buninyong,Springbank,St Michael's Primary School,738 Springbank Rd       ,Springbank
Buninyong,The Stockade,St Alipius Primary School,106-108 Victoria St       ,Ballarat East
Buninyong,Warrenheip,Warrenheip Primary School,93 Warrenheip Rd       ,Warrenheip
Burwood,Alamein,Craig Family Centre,7 Samarinda Ave       ,Ashburton
Burwood,Ashburton,Ashburton Primary School,Fakenham Rd        ,Ashburton
Burwood,Ashwood,Ashwood Secondary College,Vannam Drive        ,Ashwood
Burwood,Box Hill South,Roberts McCubbin Primary School,corner Birdwood and Devon Streets     ,Box Hill South
Burwood,Burwood,Alfred Road Kindergarten,48a Alfred Rd       ,Glen Iris
Burwood,Burwood Central,St Benedict's Primary School Hall,43168 Central Ave       ,Burwood
Burwood,Chatham South,Youth With A Mission,1 Kent Rd       ,Surrey Hills
Burwood,Elgar Park,Our Lady of Perpetual Succour School,31 Erasmus S       ,Surrey Hills
